<Comprimento de Onda>	<Intensidade>
708.98	0.322
709.18	0.326
709.37	0.330
709.57	0.323
709.76	0.334
709.95	0.322
710.15	0.322
710.34	0.321
710.54	0.324
710.73	0.322
710.92	0.324
711.12	0.323
711.31	0.316
711.51	0.308
711.70	0.319
711.89	0.322
712.09	0.320
712.28	0.308
712.48	0.322
712.67	0.319
712.86	0.323
713.06	0.310
713.25	0.316
713.44	0.310
713.64	0.314
713.83	0.305
714.02	0.316
714.22	0.310
714.41	0.315
714.61	0.311
714.80	0.304
714.99	0.310
715.19	0.311
715.38	0.307
715.57	0.300
715.77	0.297
715.96	0.302
716.15	0.297
716.35	0.308
716.54	0.294
716.73	0.302
716.93	0.296
717.12	0.291
717.31	0.293
717.51	0.298
717.70	0.288
717.89	0.293
718.09	0.290
718.28	0.290
718.47	0.283
718.67	0.291
718.86	0.286
719.05	0.291
719.25	0.278
719.44	0.294
719.63	0.276
719.83	0.286
720.02	0.281
720.21	0.280
720.41	0.284
720.60	0.277
720.79	0.277
720.99	0.280
721.18	0.274
721.37	0.274
721.56	0.274
721.76	0.277
721.95	0.269
722.14	0.279
722.34	0.274
722.53	0.274
722.72	0.271
722.92	0.272
723.11	0.271
723.30	0.271
723.49	0.261
723.69	0.261
723.88	0.262
724.07	0.261
724.27	0.260
724.46	0.260
724.65	0.266
724.84	0.259
725.04	0.258
725.23	0.259
725.42	0.248
725.62	0.252
725.81	0.262
726.00	0.254
726.19	0.251
726.39	0.264
726.58	0.252
726.77	0.256
726.96	0.243
727.16	0.262
727.35	0.244
727.54	0.255
727.73	0.245
727.93	0.252
728.12	0.244
728.31	0.256
728.50	0.245
728.70	0.240
728.89	0.240
729.08	0.248
729.27	0.239
729.47	0.248
729.66	0.247
729.85	0.246
730.04	0.239
730.24	0.247
730.43	0.232
730.62	0.242
730.81	0.236
731.01	0.233
731.20	0.229
731.39	0.239
731.58	0.226
731.77	0.232
731.97	0.224
732.16	0.223
732.35	0.223
732.54	0.236
732.74	0.224
732.93	0.234
733.12	0.228
733.31	0.230
733.50	0.222
733.70	0.229
733.89	0.218
734.08	0.225
734.27	0.219
734.46	0.226
734.66	0.223
734.85	0.225
735.04	0.212
735.23	0.213
735.42	0.215
735.62	0.218
735.81	0.208
736.00	0.213
736.19	0.208
736.38	0.211
736.58	0.211
736.77	0.211
736.96	0.211
737.15	0.213
737.34	0.212
737.53	0.202
737.73	0.203
737.92	0.208
738.11	0.206
738.30	0.212
738.49	0.201
738.68	0.209
738.88	0.199
739.07	0.213
739.26	0.194
739.45	0.203
739.64	0.196
739.83	0.201
740.03	0.200
740.22	0.198
740.41	0.193
740.60	0.198
740.79	0.196
740.98	0.191
741.17	0.194
741.37	0.193
741.56	0.194
741.75	0.199
741.94	0.184
742.13	0.191
742.32	0.191
742.51	0.189
742.71	0.190
742.90	0.183
743.09	0.184
743.28	0.192
743.47	0.196
743.66	0.182
743.85	0.193
744.04	0.190
744.24	0.186
744.43	0.182
744.62	0.185
744.81	0.184
745.00	0.177
745.19	0.182
745.38	0.181
745.57	0.178
745.77	0.184
745.96	0.183
746.15	0.177
746.34	0.178
746.53	0.177
746.72	0.183
746.91	0.165
747.10	0.176
747.29	0.177
747.48	0.180
747.68	0.169
747.87	0.173
748.06	0.173
748.25	0.171
748.44	0.164
748.63	0.167
748.82	0.171
749.01	0.175
749.20	0.166
749.39	0.174
749.58	0.159
749.77	0.174
749.97	0.169
750.16	0.168
750.35	0.160
750.54	0.166
750.73	0.157
750.92	0.162
751.11	0.160
751.30	0.162
751.49	0.160
751.68	0.164
751.87	0.169
752.06	0.163
752.25	0.155
752.44	0.163
752.63	0.155
752.83	0.153
753.02	0.152
753.21	0.154
753.40	0.153
753.59	0.156
753.78	0.146
753.97	0.164
754.16	0.152
754.35	0.149
754.54	0.146
754.73	0.146
754.92	0.146
755.11	0.151
755.30	0.149
755.49	0.145
755.68	0.151
755.87	0.147
756.06	0.147
756.25	0.143
756.44	0.143
756.63	0.140
756.82	0.142
757.01	0.145
757.20	0.139
757.39	0.138
757.58	0.137
757.77	0.143
757.96	0.139
758.15	0.143
758.34	0.135
758.53	0.139
758.72	0.138
758.91	0.136
759.10	0.142
759.29	0.140
759.48	0.132
759.67	0.140
759.86	0.135
760.05	0.137
760.24	0.132
760.43	0.136
760.62	0.129
760.81	0.141
761.00	0.136
761.19	0.133
761.38	0.128
761.57	0.132
761.76	0.132
761.95	0.122
762.14	0.131
762.33	0.134
762.52	0.129
762.71	0.123
762.90	0.129
763.09	0.125
763.28	0.126
763.47	0.134
763.66	0.126
763.85	0.127
764.04	0.123
764.23	0.128
764.42	0.121
764.61	0.133
764.80	0.123
764.99	0.117
765.17	0.118
765.36	0.116
765.55	0.117
765.74	0.122
765.93	0.119
766.12	0.113
766.31	0.116
766.50	0.120
766.69	0.117
766.88	0.114
767.07	0.119
767.26	0.111
767.45	0.116
767.64	0.112
767.83	0.115
768.02	0.116
768.20	0.117
768.39	0.116
768.58	0.113
768.77	0.108
768.96	0.110
769.15	0.110
769.34	0.113
769.53	0.110
769.72	0.111
769.91	0.104
770.10	0.110
770.29	0.108
770.47	0.108
770.66	0.104
770.85	0.104
771.04	0.101
771.23	0.098
771.42	0.103
771.61	0.105
771.80	0.103
771.99	0.102
772.18	0.103
772.36	0.109
772.55	0.100
772.74	0.099
772.93	0.094
773.12	0.100
773.31	0.099
773.50	0.095
773.69	0.092
773.87	0.098
774.06	0.100
774.25	0.097
774.44	0.101
774.63	0.101
774.82	0.100
775.01	0.093
775.20	0.089
775.38	0.092
775.57	0.091
775.76	0.091
775.95	0.101
776.14	0.097
776.33	0.092
776.52	0.096
776.70	0.087
776.89	0.089
777.08	0.094
777.27	0.083
777.46	0.092
777.65	0.088
777.83	0.087
778.02	0.088
778.21	0.094
778.40	0.085
778.59	0.089
778.78	0.084
778.97	0.085
779.15	0.082
779.34	0.082
779.53	0.078
779.72	0.087
779.91	0.083
780.09	0.082
780.28	0.086
780.47	0.082
780.66	0.086
780.85	0.082
781.04	0.084
781.22	0.089
781.41	0.079
781.60	0.083
781.79	0.080
781.98	0.079
782.16	0.081
782.35	0.074
782.54	0.080
782.73	0.073
782.92	0.081
783.10	0.075
783.29	0.078
783.48	0.076
783.67	0.075
783.86	0.077
784.04	0.080
784.23	0.077
784.42	0.076
784.61	0.072
784.80	0.075
784.98	0.077
785.17	0.063
785.36	0.078
785.55	0.077
785.73	0.069
785.92	0.073
786.11	0.071
786.30	0.080
786.49	0.064
786.67	0.070
786.86	0.073
787.05	0.071
787.24	0.073
787.42	0.072
787.61	0.066
787.80	0.066
787.99	0.067
788.17	0.064
788.36	0.070
788.55	0.064
788.74	0.062
788.92	0.071
789.11	0.064
789.30	0.072
789.49	0.060
789.67	0.067
789.86	0.069
790.05	0.065
790.24	0.058
790.42	0.069
790.61	0.064
790.80	0.066
790.99	0.064
791.17	0.061
791.36	0.065
791.55	0.065
791.73	0.063
791.92	0.061
792.11	0.065
792.30	0.061
792.48	0.058
792.67	0.054
792.86	0.059
793.04	0.059
793.23	0.062
793.42	0.049
793.61	0.059
793.79	0.060
793.98	0.062
794.17	0.060
794.35	0.058
794.54	0.054
794.73	0.054
794.92	0.056
795.10	0.064
795.29	0.056
795.48	0.058
795.66	0.053
795.85	0.050
796.04	0.053
796.22	0.058
796.41	0.057
796.60	0.054
796.78	0.056
796.97	0.055
797.16	0.053
797.34	0.049
797.53	0.055
797.72	0.049
797.90	0.050
798.09	0.056
798.28	0.046
798.46	0.059
798.65	0.051
798.84	0.055
799.02	0.046
799.21	0.044
799.40	0.051
799.58	0.045
799.77	0.041
799.96	0.059
800.14	0.043
800.33	0.046
800.52	0.048
800.70	0.049
800.89	0.052
801.08	0.057
801.26	0.050
801.45	0.052
801.64	0.040
801.82	0.046
802.01	0.052
802.19	0.042
802.38	0.048
802.57	0.050
802.75	0.046
802.94	0.054
803.13	0.045
803.31	0.046
803.50	0.048
803.68	0.044
803.87	0.050
804.06	0.047
804.24	0.051
804.43	0.040
804.62	0.036
804.80	0.039
804.99	0.038
805.17	0.040
805.36	0.047
805.55	0.043
805.73	0.039
805.92	0.038
806.10	0.044
806.29	0.043
806.48	0.033
806.66	0.036
806.85	0.041
807.03	0.044
807.22	0.039
807.41	0.034
807.59	0.038
807.78	0.036
807.96	0.039
808.15	0.038
808.33	0.042
808.52	0.037
808.71	0.033
808.89	0.042
809.08	0.039
809.26	0.045
809.45	0.034
809.63	0.038
809.82	0.037
810.01	0.030
810.19	0.038
810.38	0.035
810.56	0.037
810.75	0.035
810.93	0.040
811.12	0.034
811.30	0.032
811.49	0.030
811.68	0.037
811.86	0.025
812.05	0.033
812.23	0.028
812.42	0.034
812.60	0.034
812.79	0.038
812.97	0.033
813.16	0.024
813.34	0.030
813.53	0.041
813.72	0.036
813.90	0.032
814.09	0.032
814.27	0.036
814.46	0.030
814.64	0.024
814.83	0.035
815.01	0.026
815.20	0.032
815.38	0.036
815.57	0.032
815.75	0.039
815.94	0.039
816.12	0.029
816.31	0.035
816.49	0.034
816.68	0.035
816.86	0.026
817.05	0.030
817.23	0.026
817.42	0.025
817.60	0.031
817.79	0.036
817.97	0.024
818.16	0.034
818.34	0.022
818.53	0.024
818.71	0.029
818.90	0.021
819.08	0.026
819.27	0.025
819.45	0.030
819.64	0.025
819.82	0.026
820.01	0.026
820.19	0.029
820.38	0.029
820.56	0.017
820.75	0.021
820.93	0.020
821.12	0.032
821.30	0.028
821.48	0.027
821.67	0.033
821.85	0.023
822.04	0.025
822.22	0.026
822.41	0.028
822.59	0.018
822.78	0.020
822.96	0.027
823.15	0.021
823.33	0.025
823.51	0.030
823.70	0.020
823.88	0.031
824.07	0.021
824.25	0.023
824.44	0.018
824.62	0.023
824.81	0.023
824.99	0.027
825.17	0.027
825.36	0.015
825.54	0.022
825.73	0.019
825.91	0.015
826.10	0.021
826.28	0.020
826.46	0.025
826.65	0.014
826.83	0.014
827.02	0.018
827.20	0.018
827.38	0.015
827.57	0.015
827.75	0.024
827.94	0.023
828.12	0.016
828.30	0.025
828.49	0.013
828.67	0.017
828.86	0.020
829.04	0.023
829.22	0.015
829.41	0.022
829.59	0.020
829.78	0.018
829.96	0.012
830.14	0.021
830.33	0.012
830.51	0.020
830.70	0.021
830.88	0.018
831.06	0.022
831.25	0.022
831.43	0.019
831.61	0.014
831.80	0.020
831.98	0.028
832.17	0.008
832.35	0.009
832.53	0.010
832.72	0.012
832.90	0.018
833.08	0.010
833.27	0.010
833.45	0.017
833.63	0.016
833.82	0.009
834.00	0.011
834.19	0.017
834.37	0.015
834.55	0.009
834.74	0.008
834.92	0.016
835.10	0.010
835.29	0.006
835.47	0.012
835.65	0.015
835.84	0.012
836.02	0.014
836.20	0.011
836.39	0.015
836.57	0.021
836.75	0.016
836.94	0.010
837.12	0.018
837.30	0.012
837.49	0.008
837.67	0.025
837.85	0.021
838.03	0.008
838.22	0.016
838.40	0.011
838.58	0.019
838.77	0.011
838.95	0.017
839.13	0.014
839.32	0.007
839.50	0.012
839.68	0.015
839.87	0.008
840.05	0.016
840.23	0.011
840.41	0.010
840.60	0.014
840.78	0.008
840.96	0.010
841.15	0.011
841.33	0.016
841.51	0.008
841.69	0.011
841.88	0.016
842.06	0.013
842.24	0.008
842.43	0.002
842.61	0.001
842.79	0.008
842.97	0.004
843.16	0.008
843.34	0.015
843.52	0.006
843.70	0.011
843.89	0.012
844.07	0.007
844.25	0.007
844.43	0.010
844.62	0.006
844.80	0.009
844.98	0.002
845.16	0.010
845.35	0.007
845.53	0.011
845.71	0.011
845.89	0.008
846.08	0.006
846.26	0.007
846.44	0.013
846.62	0.006
846.81	0.018
846.99	0.009
847.17	0.009
847.35	0.012
847.54	0.018
847.72	0.010
847.90	0.010
848.08	0.012
848.26	0.003
848.45	0.007
848.63	0.006
848.81	0.013
848.99	0.012
849.18	0.004
849.36	0.015
849.54	0.004
849.72	0.008
849.90	0.004
850.09	0.014
850.27	0.010
850.45	0.011
850.63	0.011
850.81	-0.000
851.00	0.010
851.18	0.004
851.36	0.008
851.54	0.007
851.72	0.006
851.91	0.014
852.09	0.011
852.27	0.006
852.45	0.003
852.63	0.006
852.82	0.005
853.00	0.008
853.18	0.011
853.36	0.005
853.54	0.002
853.72	-0.003
853.91	0.007
854.09	0.000
854.27	0.008
854.45	0.006
854.63	0.008
854.81	0.009
855.00	-0.004
855.18	0.017
855.36	0.012
855.54	0.004
855.72	0.009
855.90	0.007
856.08	0.006
856.27	0.014
856.45	0.008
856.63	0.003
856.81	0.008
856.99	0.005
857.17	0.003
857.35	0.008
857.54	0.007
857.72	-0.009
857.90	0.001
858.08	0.001
858.26	0.007
858.44	0.007
858.62	-0.003
858.81	-0.001
858.99	0.004
859.17	0.004
859.35	0.006
859.53	0.005
859.71	0.014
859.89	0.009
860.07	0.004
860.25	0.005
860.44	0.002
860.62	-0.003
860.80	-0.007
860.98	0.007
861.16	0.005
861.34	0.010
861.52	0.003
861.70	0.002
861.88	0.001
862.06	0.013
862.25	0.014
862.43	0.009
862.61	0.004
862.79	-0.001
862.97	0.003
863.15	-0.005
863.33	0.001
863.51	0.008
863.69	0.004
863.87	0.003
864.05	-0.005
864.23	0.009
864.42	0.003
864.60	0.006
864.78	0.012
864.96	0.003
865.14	-0.009
865.32	-0.004
865.50	0.009
865.68	0.012
865.86	-0.005
866.04	0.002
866.22	0.003
866.40	-0.007
866.58	0.008
866.76	-0.006
866.94	-0.002
867.12	0.009
867.30	0.008
867.49	0.006
867.67	0.004
867.85	0.008
868.03	0.012
868.21	0.002
868.39	0.001
868.57	-0.008
868.75	-0.004
868.93	0.004
869.11	-0.002
869.29	-0.008
869.47	0.003
869.65	0.003
869.83	-0.001
870.01	0.011
870.19	-0.002
870.37	-0.000
870.55	0.003
870.73	-0.004
870.91	-0.009
871.09	-0.000
871.27	-0.001
871.45	-0.001
871.63	0.001
871.81	-0.003
871.99	-0.005
872.17	0.004
872.35	0.000
872.53	0.003
872.71	0.002
872.89	-0.004
873.07	0.002
873.25	0.006
873.43	0.003
873.61	-0.001
873.79	-0.014
873.97	0.003
874.15	-0.009
874.33	-0.007
874.51	-0.008
874.69	-0.001
874.87	0.003
875.05	0.005
875.23	-0.004
875.41	0.008
875.59	0.000
875.77	0.006
875.95	-0.004
876.13	-0.009
876.31	0.005
876.49	0.003
876.66	0.000
876.84	-0.009
877.02	0.004
877.20	0.004
877.38	0.003
877.56	-0.003
877.74	0.003
877.92	-0.007
878.10	-0.004
878.28	-0.003
878.46	-0.004
878.64	-0.005
878.82	-0.004
879.00	-0.007
879.18	-0.003
879.36	-0.005
879.54	-0.012
879.72	-0.007
879.89	-0.001
880.07	-0.004
880.25	-0.007
880.43	-0.004
880.61	-0.002
880.79	-0.009
880.97	-0.012
881.15	-0.010
881.33	-0.006
881.51	-0.004
881.69	-0.009
881.87	-0.002
882.04	0.004
882.22	-0.015
882.40	-0.002
882.58	-0.008
882.76	-0.001
882.94	-0.002
883.12	-0.012
883.30	-0.002
883.48	-0.020
883.65	-0.014
883.83	-0.006
884.01	0.003
884.19	-0.005
884.37	-0.004
884.55	-0.002
884.73	0.002
884.91	-0.014
885.09	-0.019
885.26	-0.001
885.44	0.002
885.62	-0.004
885.80	-0.002
885.98	-0.009
886.16	0.003
886.34	-0.006
886.52	0.012
886.69	-0.016
886.87	-0.007
887.05	-0.022
887.23	-0.007
887.41	-0.010
887.59	-0.014
887.76	-0.005
887.94	0.002
888.12	-0.012
888.30	0.014
888.48	0.000
888.66	0.001
888.84	-0.005
889.01	-0.007
889.19	-0.000
889.37	-0.009
889.55	0.001
889.73	-0.008
889.91	-0.014
890.08	-0.005
890.26	-0.005
890.44	-0.004
890.62	-0.010
890.80	-0.011
890.98	-0.006
891.15	-0.008
891.33	-0.005
891.51	-0.009
891.69	0.007
891.87	-0.009
892.04	-0.001
892.22	-0.008
892.40	-0.006
892.58	-0.009
892.76	-0.012
892.93	-0.004
893.11	-0.013
893.29	-0.002
893.47	-0.004
893.65	-0.001
893.82	-0.003
894.00	-0.010
894.18	-0.001
894.36	-0.002
894.54	-0.006
894.71	-0.005
894.89	-0.013
895.07	-0.006
895.25	-0.000
895.42	-0.007
895.60	-0.005
895.78	-0.012
895.96	0.001
896.14	-0.011
896.31	-0.005
896.49	-0.011
896.67	-0.008
896.85	-0.009
897.02	0.003
897.20	-0.009
897.38	-0.013
897.56	-0.013
897.73	0.001
897.91	-0.012
898.09	-0.015
898.27	-0.014
898.44	-0.002
898.62	-0.005
898.80	-0.012
898.98	-0.019
899.15	-0.010
899.33	-0.003
899.51	0.005
899.69	-0.008
899.86	-0.011
900.04	-0.002
900.22	-0.005
900.40	-0.009
900.57	-0.009
900.75	-0.007
900.93	-0.015
901.10	-0.017
901.28	-0.005
901.46	-0.004
901.64	0.003
901.81	-0.016
901.99	-0.013
902.17	-0.008
902.34	-0.004
902.52	-0.014
902.70	-0.029
902.88	-0.005
903.05	-0.011
903.23	-0.013
903.41	-0.015
903.58	-0.005
903.76	-0.005
903.94	-0.009
904.11	-0.009
904.29	0.001
904.47	-0.014
904.64	-0.010
904.82	-0.013
905.00	-0.009
905.18	-0.022
905.35	-0.012
905.53	-0.007
905.71	-0.018
905.88	-0.005
906.06	-0.014
906.24	-0.006
906.41	-0.017
906.59	-0.008
906.77	-0.012
906.94	-0.017
907.12	0.000
907.30	-0.011
907.47	-0.005
907.65	-0.005
907.83	-0.001
908.00	-0.016
908.18	-0.002
908.36	-0.012
908.53	-0.016
908.71	-0.007
908.88	-0.015
909.06	-0.005
909.24	-0.015
909.41	-0.000
909.59	-0.011
909.77	-0.008
909.94	0.000
910.12	-0.004
910.30	-0.008
910.47	-0.020
910.65	-0.009
910.82	-0.010
911.00	-0.010
911.18	-0.006
911.35	0.004
911.53	-0.006
911.71	-0.008
911.88	-0.004
912.06	-0.007
912.23	-0.005
912.41	-0.016
912.59	-0.007
912.76	-0.003
912.94	-0.005
913.11	-0.012
913.29	-0.024
913.47	-0.014
913.64	-0.020
913.82	-0.002
913.99	-0.011
914.17	-0.004
914.35	-0.012
914.52	-0.011
914.70	-0.019
914.87	-0.014
915.05	-0.014
915.23	-0.007
915.40	-0.007
915.58	-0.013
915.75	0.001
915.93	-0.005
916.10	-0.015
916.28	-0.014
916.46	-0.016
916.63	-0.006
916.81	-0.010
916.98	-0.015
917.16	-0.006
917.33	-0.012
917.51	-0.011
917.68	-0.009
917.86	-0.020
918.04	-0.016
918.21	-0.002
918.39	-0.023
918.56	-0.014
918.74	-0.016
918.91	0.001
919.09	-0.024
919.26	-0.020
919.44	-0.015
919.62	-0.002
919.79	-0.020
919.97	-0.011
920.14	0.004
920.32	-0.002
920.49	-0.017
920.67	-0.011
920.84	-0.004
921.02	-0.015
921.19	-0.018
921.37	-0.009
921.54	-0.021
921.72	-0.013
921.89	-0.008
922.07	0.004
922.24	-0.011
922.42	-0.019
922.59	-0.014
922.77	-0.020
922.94	-0.003
923.12	-0.010
923.29	-0.021
923.47	-0.007
923.64	-0.008
923.82	-0.000
923.99	-0.020
924.17	-0.009
924.34	-0.018
924.52	-0.011
924.69	-0.014
924.87	-0.007
925.04	0.002
925.22	-0.004
925.39	-0.003
925.57	-0.015
925.74	-0.009
925.92	0.010
926.09	-0.005
926.27	-0.014
926.44	-0.012
926.62	-0.023
926.79	-0.010
926.97	-0.001
927.14	-0.008
927.31	-0.007
927.49	-0.014
927.66	-0.023
927.84	-0.009
928.01	-0.006
928.19	-0.017
928.36	-0.023
928.54	-0.000
928.71	-0.008
928.89	-0.030
929.06	-0.006
929.23	-0.007
929.41	-0.020
929.58	-0.018
929.76	-0.018
929.93	-0.019
930.11	-0.025
930.28	-0.018
930.45	-0.016
930.63	-0.009
930.80	-0.018
930.98	-0.018
931.15	-0.010
931.33	-0.019
931.50	-0.019
931.67	-0.014
931.85	-0.013
932.02	-0.011
932.20	-0.018
932.37	-0.019
932.55	-0.009
932.72	-0.008
932.89	-0.023
933.07	0.002
933.24	-0.004
933.42	-0.011
933.59	-0.014
933.76	-0.007
933.94	-0.005
934.11	-0.021
934.28	-0.022
934.46	-0.005
934.63	-0.017
934.81	-0.018
934.98	-0.008
935.15	-0.001
935.33	-0.017
935.50	-0.012
935.68	-0.010
935.85	-0.009
936.02	-0.011
936.20	-0.005
936.37	-0.012
936.54	-0.016
936.72	-0.006
936.89	-0.023
937.07	-0.014
937.24	-0.000
937.41	-0.023
937.59	-0.010
937.76	-0.018
937.93	-0.015
938.11	-0.007
938.28	-0.008
938.45	-0.013
938.63	-0.005
938.80	-0.011
938.97	-0.020
939.15	0.003
939.32	-0.010
939.49	-0.018
939.67	-0.013
939.84	-0.011
940.01	-0.009
940.19	-0.010
940.36	0.000
940.53	-0.022
940.71	-0.014
940.88	-0.024
941.05	-0.016
941.23	-0.009
941.40	-0.020
941.57	-0.024
941.75	-0.032
941.92	-0.019
942.09	-0.023
942.27	-0.028
942.44	-0.014
942.61	-0.016
942.78	-0.031
942.96	-0.013
943.13	0.009
943.30	-0.013
943.48	-0.030
943.65	-0.023
943.82	-0.010
944.00	-0.027
944.17	-0.026
944.34	-0.007
944.51	-0.028
944.69	0.001
944.86	-0.035
945.03	-0.016
945.21	-0.016
945.38	-0.028
945.55	-0.032
945.72	-0.019
945.90	-0.032
946.07	-0.016
946.24	-0.022
946.41	-0.016
946.59	-0.021
946.76	0.003
946.93	-0.013
947.10	-0.028
947.28	-0.027
947.45	-0.017
947.62	-0.023
947.80	-0.014
947.97	-0.022
948.14	-0.004
948.31	-0.018
948.48	-0.019
948.66	-0.011
948.83	-0.022
949.00	-0.022
949.17	-0.018
949.35	-0.021
949.52	-0.025
949.69	-0.024
949.86	-0.010
950.04	0.007
950.21	-0.015
950.38	-0.034
950.55	-0.012
950.73	-0.025
950.90	-0.016
951.07	-0.010
951.24	-0.025
951.41	-0.013
951.59	-0.014
951.76	-0.022
951.93	-0.046
952.10	-0.013
952.27	-0.037
952.45	-0.033
952.62	-0.020
952.79	-0.023
952.96	-0.026
953.13	-0.025
953.31	-0.035
953.48	-0.008
953.65	-0.013
953.82	-0.021
953.99	-0.009
954.17	-0.035
954.34	-0.020
954.51	-0.022
954.68	-0.013
954.85	-0.025
955.02	-0.054
955.20	-0.036
955.37	-0.031
955.54	-0.035
955.71	-0.039
955.88	-0.001
956.05	-0.015
956.23	-0.020
956.40	-0.021
956.57	-0.007
956.74	-0.016
956.91	-0.030
957.08	-0.039
957.26	-0.022
957.43	-0.012
957.60	-0.030
957.77	-0.021
957.94	0.010
958.11	-0.041
958.28	-0.018
958.46	-0.027
958.63	-0.009
958.80	-0.006
958.97	-0.012
959.14	-0.029
959.31	0.008
959.48	-0.034
959.66	-0.010
959.83	-0.011
960.00	-0.023
960.17	-0.024
960.34	-0.002
960.51	-0.014
960.68	-0.019
960.85	-0.019
961.03	-0.010
961.20	-0.034
961.37	-0.027
961.54	-0.025
961.71	-0.022
961.88	-0.018
962.05	-0.015
962.22	-0.015
962.39	-0.023
962.56	-0.011
962.74	-0.012
962.91	-0.015
963.08	-0.043
963.25	-0.014
963.42	-0.015
963.59	-0.017
963.76	-0.012
963.93	-0.033
964.10	-0.002
964.27	-0.011
964.44	0.001
964.62	0.002
964.79	0.002
964.96	-0.017
965.13	-0.024
965.30	-0.039
965.47	0.019
965.64	-0.016
965.81	-0.026
965.98	-0.005
966.15	0.013
966.32	-0.014
966.49	-0.022
966.66	-0.039
966.83	-0.017
967.00	-0.021
967.17	-0.014
967.34	-0.010
967.52	-0.011
967.69	-0.009
967.86	-0.006
968.03	-0.011
968.20	-0.009
968.37	-0.032
968.54	-0.038
968.71	-0.006
968.88	-0.021
969.05	-0.015
969.22	-0.043
969.39	-0.034
969.56	-0.010
969.73	-0.009
969.90	-0.004
970.07	-0.011
970.24	-0.023
970.41	-0.031
970.58	-0.031
970.75	-0.013
970.92	0.003
971.09	-0.027
971.26	-0.019
971.43	-0.005
971.60	-0.034
971.77	-0.014
971.94	-0.024
972.11	-0.010
972.28	-0.013
972.45	-0.006
972.62	0.012
972.79	-0.035
972.96	-0.027
973.13	-0.026
973.30	-0.019
973.47	-0.061
973.64	-0.050
973.81	-0.019
973.98	-0.045
974.15	-0.038
974.32	-0.007
974.49	-0.039
974.66	-0.036
974.83	-0.027
975.00	0.011
975.17	-0.014
975.34	-0.028
975.51	-0.033
975.68	-0.042
975.85	-0.056
976.01	0.003
976.18	-0.062
976.35	-0.023
976.52	-0.008
976.69	-0.035
976.86	-0.023
977.03	-0.053
977.20	-0.029
977.37	-0.011
977.54	-0.048
977.71	-0.028
977.88	-0.006
978.05	-0.032
978.22	0.006
978.39	-0.011
978.56	-0.017
978.73	-0.014
978.89	-0.023
979.06	-0.002
979.23	-0.012
979.40	-0.003
979.57	-0.054
979.74	-0.024
979.91	0.009
980.08	-0.019
980.25	-0.018
980.42	-0.022
980.59	0.000
980.75	-0.011
980.92	-0.011
981.09	-0.004
981.26	-0.020
981.43	-0.016
981.60	-0.039
981.77	0.016
981.94	-0.053
982.11	-0.005
982.28	-0.034
982.44	0.022
982.61	-0.038
982.78	-0.024
982.95	-0.059
983.12	-0.029
983.29	-0.049
983.46	-0.035
983.63	-0.053
983.79	-0.054
983.96	-0.019
984.13	0.010
984.30	-0.038
984.47	-0.004
984.64	-0.033
984.81	-0.030
984.97	-0.006
985.14	-0.030
985.31	-0.051
985.48	-0.044
985.65	-0.032
985.82	0.001
985.99	-0.006
986.15	-0.002
986.32	0.016
986.49	-0.003
986.66	-0.012
986.83	-0.057
987.00	-0.025
987.16	-0.001
987.33	0.001
987.50	-0.053
987.67	-0.026
987.84	-0.007
988.01	-0.039
988.17	-0.026
988.34	-0.050
988.51	-0.025
988.68	-0.000
988.85	-0.057
989.02	-0.024
989.18	-0.043
989.35	0.016
989.52	0.005
989.69	-0.040
989.86	-0.016
990.02	-0.013
990.19	-0.019
990.36	-0.023
990.53	-0.033
990.70	-0.011
990.86	-0.002
991.03	0.008
991.20	-0.053
991.37	0.023
991.53	-0.063
991.70	0.021
991.87	-0.057
992.04	0.005
992.21	-0.029
992.37	-0.039
992.54	-0.029
992.71	-0.026
992.88	-0.025
993.04	-0.040
993.21	-0.022
993.38	-0.032
993.55	-0.013
993.72	-0.008
993.88	-0.041
994.05	-0.013
994.22	-0.030
994.39	0.001
994.55	-0.019
994.72	-0.014
994.89	-0.003
995.06	-0.024
995.22	-0.033
995.39	-0.049
995.56	-0.013
995.73	-0.019
995.89	-0.049
996.06	-0.015
996.23	-0.045
996.39	-0.081
996.56	-0.027
996.73	-0.018
996.90	-0.049
997.06	-0.059
997.23	-0.038
997.40	-0.077
997.57	-0.053
997.73	-0.015
997.90	-0.060
998.07	-0.034
998.23	-0.015
998.40	-0.019
998.57	-0.018
998.74	-0.061
998.90	-0.024
999.07	-0.011
999.24	-0.022
999.40	-0.028
999.57	0.003
999.74	-0.047
999.90	-0.039
1000.07	-0.023
1000.24	-0.040
1000.41	-0.015
1000.57	-0.040
1000.74	-0.011
1000.91	-0.062
1001.07	0.016
1001.24	-0.048
1001.41	-0.015
1001.57	-0.086
1001.74	-0.064
1001.91	-0.022
1002.07	-0.033
1002.24	-0.003
1002.41	-0.035
1002.57	-0.044
1002.74	-0.088
1002.91	-0.004
1003.07	-0.032
1003.24	-0.034
1003.41	-0.023
1003.57	-0.007
1003.74	-0.062
1003.91	-0.043
1004.07	-0.041
1004.24	-0.013
1004.41	-0.038
1004.57	-0.020
1004.74	-0.081
1004.90	-0.030
1005.07	-0.075
1005.24	-0.044
1005.40	-0.057
1005.57	-0.049
1005.74	-0.064
1005.90	-0.044
1006.07	-0.043
1006.23	-0.034
1006.40	0.025
1006.57	-0.001
1006.73	-0.003
1006.90	-0.028
